以下是为你添加中文翻译后的单词分类内容：


### **日常常用单词.txt**  
ache 疼痛  
disobedience 不服从；违抗  
disorder 混乱；失调  
disorganized 杂乱无章的；无条理的  
disparity 不等；差异  
dispatch 派遣；发送  
dispense 分配；分发  
disperse 分散；驱散  
displace 取代；置换  
disposal 处理； disposal 处置  
dispose 处理；安排  
disposition 性情；倾向  
disregard 忽视；漠视  
dissatisfaction 不满；不悦  
dissent 异议；不同意  
dissertation 论文；专题研究  
distinctly 明显地；清楚地  
distort 扭曲；歪曲  
distraction 分心；干扰  
distress 痛苦；危难  
distressed 痛苦的；忧虑的  
distrust 不信任；怀疑  
disturbance 干扰；骚乱  
ditto 同上；同前  
diversification 多样化；多元化  
diversify 使多样化；从事多种经营  
diversion 转移；消遣  
divert 转移；使转向  
DNA 脱氧核糖核酸  
doctrinal 教义的；学说的  
doctrine 教义；学说  
document 文件；记录  
dodge 躲避；回避  
dodgy 狡猾的；不可靠的  
dog 狗；追随  
domain 领域；域名  
dominance 优势；统治  
donkey 驴；傻瓜  
donor 捐赠者；供血者  
doom 厄运；注定  
doorstep 门阶；门槛  
dot 点；小圆点  
doubtless 无疑地；确定地  
dough 生面团；钱  
drainage 排水；排水系统  
drape 悬挂；装饰  
drastic 激烈的；严厉的  
drawback 缺点；不利条件  
dread 恐惧；害怕  
dribble 流口水；滴下  
drift 漂流；趋势  
drinker 饮酒者；酒徒  
drinking water 饮用水  
drizzle 细雨；下毛毛雨  
drummer 鼓手；打击乐手  
dual 双重的；双的  
duality 二元性；双重性  
dubious 可疑的；不确定的  
duo 二人组；成对  
duplicate 复制；副本  
duration 持续时间；期间  
dusk 黄昏；薄暮  
dwell 居住；细想  
dwindle 减少；缩小  
dynamic 动态的；有活力的  
dynasty 王朝；朝代  
earnest 认真的；诚挚的  
ease 轻松；减轻  
eccentric 古怪的；反常的  
eclipse 日食；月食  
eco-friendly 环保的；对生态环境无害的  
ecosystem 生态系统  
ecstasy 狂喜；入迷  
ecstatic 狂喜的；欣喜若狂的  
editorial 编辑的；社论  
ego 自我；自负  
eject 逐出；喷射  
elastic 有弹性的；灵活的  
elder 年长的；长辈  
electoral 选举的；投票的  
electorate 选民；选区  
elevate 提升；举起  
elicit 引出；诱出  
eligibility 合格；适任  
eligible 合格的；有资格的  
elite 精英；上层集团  
elusive 难以捉摸的；逃避的  
embargo 禁运；封锁  
embark 开始；登上（船、飞机等）  
embed 嵌入；植入  
embody 体现；代表  
embrace 拥抱；包含  
emergence 出现；兴起  
emigrate 移民；移居国外  
eminent 杰出的；著名的  
emission 排放；散发  
emit 发出；放射  
empathetic 移情的；有同理心的  
empathy 同理心；共情  
empirical 经验主义的；实证的  
empower 授权；使能够  
emulate 模仿；竞争  
encompass 包含；包围  
encounter 遭遇；邂逅  
encyclopedia 百科全书  
endanger 危及；使遭受危险  
endeavour 努力；尽力  
endorse 支持；背书  
endure 忍受；持续  
enforce 执行；实施  
engage 参与；吸引  
enhanced 增强的；提高的  
enlarge 扩大；放大  
enlist 征募；报名  
enormously 非常；极其  
enrich 使丰富；使充实  
enrol 登记；注册  
ensue 接着发生；因而产生  
enthusiast 爱好者；热心者  
entitlement 权利；资格  
entity 实体；存在  
entrepreneur 企业家；创业者  
entrust 委托；信任  
environmentalist 环保主义者；环境论者  
envisage 想象；设想  
envoy 使节；使者  
envy 嫉妒；羡慕  
epic 史诗般的；宏大的  
equal 平等的；相等的  
equate 使相等；等同  
equilibrium 平衡；均衡  
equitable 公平的；公正的  
eradicate 根除；消灭  
erode 侵蚀；腐蚀  
erupt 爆发；喷发  
escalate 升级；加剧  
escort 护送；护卫  
estate agency 房地产中介  
estate agent 房地产经纪人  
estimation 估计；评价  
evacuate 疏散；撤离  
evade 逃避；回避  
evaluate 评价；评估  
evaporate 蒸发；消失  
even 平坦的；均匀的  
evenly 均匀地；平衡地  
evocation 唤起；引发  
evoke 唤起；引起  
evolution 进化；发展  
exacerbate 使恶化；加剧  
exasperated 恼怒的； exasperated 愤怒的  
exceptionally 异常地；特别地  
excerpt 摘录；节选  
exclaim 呼喊；惊叫  
exclusion 排除；拒绝  
exclusive 独有的；排外的  
exclusively 唯一地；专门地  
excursion 远足；短途旅行  
execute 执行；实施  
execution 执行；实行  
exemplification 例证；范例  
exemplify 例证；代表  
exempt 免除；豁免  
exert 运用；发挥  
exhaust 使筋疲力尽；耗尽  
exile 流放；放逐  
exit 出口；离开  
exorbitant 过高的；昂贵的  
expel 驱逐；开除  
expenditure 支出；花费  
explanatory 解释的；说明的  
explicit 明确的；清楚的  
exploit 开发；利用  
exploitation 开发；剥削  
explorer 探险家；勘探者  
explosive 爆炸的；易爆炸的  
expressly 清楚地；特意地  
exquisite 精美的；精致的  
extended 延伸的；扩展的  
extinction 灭绝；消亡  
extraordinarily 格外地；非常地  
extremist 极端主义者；偏激的人  
extrovert 外向的人；性格外向者  
eyewitness 目击者；见证人  
facet 方面；小平面  
facial 面部的；面部护理  
facilitate 促进；使容易  
factual 事实的；真实的  
faculty 能力；院系  
familiarity 熟悉；通晓  
famine 饥荒；饥饿  
fan 风扇；爱好者  
fancy 想象；精致的  
farewell 告别；再见  
farmhouse 农舍； farmhouse 农场住宅  
far-reaching 深远的；广泛的  
fascination 魅力；着迷  
fashion 时尚；方式  
fate 命运；结局  
fatigue 疲劳；疲惫  
fattening 使人发胖的；增肥的  
faulty 有错误的；有缺点的  
favourable 有利的；赞成的  
fearful 害怕的；担心的  
feasibility 可行性；可能性  
feasible 可行的；可能的  
feast 盛宴；宴会  
feat 功绩；壮举  
feeble 虚弱的；无力的  
feel 感觉；触摸  
fellowship 友谊；团体  
feminine 女性的；阴性的  
feminist 女权主义者；女权运动的  
ferocious 凶猛的；残忍的  
fertile 肥沃的；富饶的  
fictional 虚构的；小说的  
fictitious 虚构的；假的  
field 田野；领域  
fiery 火的；暴躁的  
figurative 比喻的；象征的  
film-maker 电影制作人  
film-making 电影制作  
filter 过滤器；筛选  
fin 鳍；鱼鳍  
finalization 完成；结束  
finalize 完成；确定  
find 找到；发现  
fingerprint 指纹；手印  
finite 有限的；有限制的  
firearm 火器；枪支  
fireplace 壁炉  
first class 头等舱；一流的  
flabbiness 松弛；软弱  
flabby 松弛的；软弱的  
flap 拍打；拍打声  
flare 闪耀；闪光  
flatten 使平坦；变平  
flatter 奉承；讨好  
flaw 缺点；瑕疵  
flick 轻弹；轻打  
flicker 闪烁；摇曳  
flimsy 脆弱的；易损坏的  
flip 轻弹；翻转  
float 漂浮；浮动  
flourish 繁荣；兴旺  
fluctuate 波动；起伏  
flush 脸红；冲洗  
flutter 飘动；颤动  
foam 泡沫；泡沫材料  
focussed 聚焦的；集中的  
foil 箔；挫败  
fold 折叠；褶皱  
follow-up 后续的；追踪  
font 字体；字形  
fool 傻瓜；欺骗  
foolproof 万无一失的；简单安全的  
footage 镜头；片段  
footballer 足球运动员  
footnote 脚注；补充说明  
forefront 前沿；最前线  
foreman 工头；领班  
foremost 最重要的；第一的  
forensic 法医的；法庭的  
foresee 预见；预知  
foreword 前言；序言  
forgiveness 宽恕；原谅  
formality 礼节；正式手续  
format 格式；版式  
formidable 可怕的；难对付的  
formulate 制定；规划  
forth 向前；向外  
forthcoming 即将到来的；现成的  
fortress 堡垒；要塞  
forum 论坛；讨论会  
forward 向前；前进的  
fossil fuel 化石燃料  
foster 培养；养育  
founder 创始人；奠基者  
fountain 喷泉；源泉  
fracture 骨折；破裂  
fragrance 芳香；香味  
frail 脆弱的；虚弱的  
frame 框架；边框  
franchise 特许经营权；选举权  
frantic 疯狂的；狂热的  
freak 怪异的；反常的  
freelance 自由职业的；自由职业者  
freeze 冻结；结冰  
frenzy 狂乱；疯狂  
freshman 新生；大学一年级学生  
friction 摩擦；冲突  
fruitful 富有成效的；多产的  
frustrate 挫败；使沮丧  
fuel 燃料；刺激  
fulfilling 令人满足的；有意义的  
fungus 真菌；菌类  
furnace 熔炉；火炉  
further 进一步的；更远的  
furthermore 此外；而且  
fuss 大惊小怪；烦恼  
futile 无用的；无效的  
galaxy 星系；银河  
gale 大风；狂风  
gangster 歹徒；流氓  
gasp 喘气；喘息  
gateway 网关；入口  
gathering 聚会；聚集  
gauge 测量；估计  
gay 快乐的；同性恋的  
gaze 凝视；注视  
gel 凝胶；胶状物  
gem 宝石；珍品  
gender 性别；性  
generalization 概括；归纳  
generalize 概括；归纳  
generator 发电机；发生器  
generic 一般的；通用的  
generosity 慷慨；大方  
genetic 遗传的；基因的  
geneticist 遗传学家  
genetics 遗传学  
genocide 种族灭绝；大屠杀  
genre 类型；体裁  
geographical 地理的；地理学的  
geological 地质的；地质学的  
geologist 地质学家  
geology 地质学  
geometry 几何学  
gesture 手势；姿势  
ghastliness 可怕；恐怖  
ghastly 可怕的；恐怖的  
ghetto 贫民窟；贫民区  
gifted 有天赋的；有才华的  
giggle 咯咯笑；傻笑  
gin 杜松子酒；轧棉机  
given 考虑到；特定的  
glacier 冰川；冰河  
glamorous 迷人的；富有魅力的  
glamour 魅力；吸引力  
gland 腺体；密封压盖  
glare 怒视；强光  
gleam 闪光；闪烁  
glimpse 一瞥；一看  
glitter 闪光；闪耀  
globalization 全球化  
gloom 昏暗；忧郁  
gloomy 昏暗的；忧郁的  
glossary 词汇表；术语表  
glossiness 光泽；光滑  
glossy 光滑的；有光泽的  
going 离去；进展  
goodwill 善意；友好  
governmental 政府的；政治的  
gown 长袍；礼服  
graffiti 涂鸦；乱涂乱画  
grammatical 语法的；符合语法的  
graphic 图表的；形象的  
grasp 抓住；理解  
gratitude 感激；感谢  
gravity 重力；严肃  
graze 放牧；擦伤  
greed 贪婪；贪心  
greeting 问候；招呼  
grievance 不满；抱怨  
grieve 悲伤；哀悼  
grind 磨碎；苦干  
gripping 扣人心弦的；吸引人的  
groan 呻吟；叹息  
groom 新郎；梳理  
groove 凹槽；惯例  
grotesque 怪诞的；奇异的  
ground 地面；根据  
grove 小树林；果园  
growl 咆哮；怒吼  
gruesome 可怕的；令人厌恶的  
grumble 抱怨；嘟囔  
grumpy 脾气坏的；性情乖戾的  
grunt 咕哝；呼噜声  
guardian 监护人；保护者  
guerrilla 游击队员；游击战的  
guitarist 吉他手； guitarist 弹吉他的人  
gulf 海湾；鸿沟  
gutter 排水沟；贫民窟  
gypsy 吉普赛人；流浪汉  


