好的，这是您提供的单词列表及其对应的中文翻译：

abandon 放弃
blogger 博客作者
bloke 家伙
blow 吹
board 木板
boast 吹嘘
boaster 吹嘘者
bold 大胆的
boldly 大胆地
boldness 大胆
bolt 螺栓
bomber 轰炸机
bombing 轰炸
bond 纽带
bonus 奖金
book 书
boost 提高
boost 推动
bore 使...厌烦
bore 钻孔
bossily 专横地
bossiness 专横
bossy 专横的
bound 束缚
boundary 边界
boutique 精品店
bow 鞠躬
bow 弓
boxer 拳击手
boxer shorts 平角短裤
boxing 拳击
bra 文胸
bracelet 手链
bracket 括号
brake 刹车
brand 品牌
brand-new 全新的
brass 黄铜
bravery 勇敢
breakthrough 突破
breed 繁殖
breed 品种
breeze 微风
bride 新娘
bridegroom 新郎
bridesmaid 伴娘
briefcase 公文包
briefly 简要地
broadband 宽带
broadcast 广播
broadcast 广播节目
brochure 小册子
bronze 青铜
bronze 青铜色
broom 扫帚
brother-in-law 姐夫/妹夫/大舅子/小舅子
browse 浏览
browser 浏览器
bruise 瘀伤
brunch 早午餐
bubble 气泡
budget 预算
bug 虫子
builder 建筑工人
bulb 灯泡
bull 公牛
bullet 子弹
bulletin 公告
bully 欺凌
bully 欺凌者
bullying 欺凌
bully-off 开球
bump 碰撞
bumpy 崎岖不平的
burglar 窃贼
burglar alarm 防盗警报器
burglary 入室盗窃
burial 埋葬
burn 燃烧
burning 燃烧的
burnt 烧焦的
burst 爆发
bus stop 公交车站
bust 半身像
butcher 屠夫
butterfly 蝴蝶
buyer 买方
cabbage 卷心菜
cabin 小木屋
cabinet 橱柜
cage 笼子
calcium 钙
calculation 计算
calf 小牛
calm 平静的
calm 使...平静
caloric 卡路里的
calorie 卡路里
camp 营地
campaign 运动
campaign 参加运动
campsite 露营地
canal 运河
cancellation 取消
candle 蜡烛
canoe 独木舟
can opener 开罐器
canvas 帆布
canyon 峡谷
capability 能力
capable 有能力的
capably 能干地
capacity 容量
capital 首都
capture 捕获
caravan 大篷车
carbon 碳
careless 粗心的
carelessly 粗心地
carelessness 粗心
carer 护理人员
cargo 货物
carnival 嘉年华
carpenter 木匠
carriage 马车
carrier bag 购物袋
cart 推车
cartoon 卡通
carve 雕刻
cash machine 自动取款机
casino 赌场
cast 投掷
cast 演员阵容
casual 休闲的
casually 随意地
casualness 随意
casualty 伤亡人员
catalogue 目录
catch 抓住
categorization 分类
categorize 分类
cathedral 大教堂
caution 小心
cautious 谨慎的
cautiously 谨慎地
cautiousness 谨慎
cave 洞穴
CD 光盘
cease 停止
celebration 庆祝
celebrity 名人
cemetery 墓地
central heating 集中供暖
centrally heated 集中供暖的
centre 中心
certainty 确定性
certificate 证书
chairman 主席
champagne 香槟
chaos 混乱
chap 小伙子
chapel 小教堂
characteristic 特征
characteristic 典型的
characteristically 典型地
characterize 描绘...的特征
charity 慈善
charm 魅力
charming 迷人的
charmingly 迷人地
charter 包租
chase 追逐
chat 聊天
chat 闲聊
cheat 欺骗
cheat 骗子
checked 格子的
checklist 清单
checkout 结账处
cheer 欢呼
cheer 欢呼声
cheerful 快乐的
cheerfully 愉快地
cheerfulness 愉快
cheering 欢呼的
chef 厨师
chemist 药剂师
cherry 樱桃
chess 国际象棋
chewing gum 口香糖
chick 小鸡
childhood 童年
chilli 辣椒
chilliness 寒冷
chilly 寒冷的
chimney 烟囱
choir 唱诗班
choke 窒息
chord 和弦
chorus 合唱
chronic 慢性的
chronically 长期地
chunk 大块
cigar 雪茄
circle 圆圈
circuit 环形
circular 圆形的
circularity 圆形
circus 马戏团
cite 引用
civil 公民的
civilian 平民
civilization 文明
clap 拍手
clapping 拍手声
clarify 澄清
clarity 清晰
clash 冲突
clash 冲突声
class 班级
classic 经典的
classic 经典作品
classical 古典的
classically 古典地
classmate 同学
clause 从句
claw 爪子
clay 黏土
cleaner 清洁工
clear 清楚的
clerk 职员
click 点击
cliff 悬崖
climate 气候
climate change 气候变化
climb 爬
climber 登山者
climbing 攀登
cling 紧抓
clinic 诊所
clip 夹子
clip 剪辑
closing 关闭
closure 关闭
cloth 布
clothe 给...穿衣
clumsily 笨拙地
clumsiness 笨拙
clumsy 笨拙的
clutch 紧握
coach 教练
cocktail 鸡尾酒
code 代码
coffin 棺材
coincide 同时发生
coincidence 巧合
cola 可乐
collapse 倒塌
collapse 倒塌
collector 收藏家
collision 碰撞
colonel 上校
colony 殖民地
colour 颜色
coloured 彩色的
colourful 色彩鲜艳的
colourfully 色彩鲜艳地
column 柱子
combat 战斗
combat 搏斗
combined 组合的
comedian 喜剧演员
comfort 舒适
comfort 慰藉
comfortably 舒适地
comic 喜剧的
comma 逗号
command 命令
command 命令
commander 指挥官
comment 评论
commentary 评论
commentator 评论员
commerce 商业
commercial 商业的
commercial 商业广告
commission 委员会
commitment 承诺
common 常见的
commonly 通常
communism 共产主义
communist 共产主义者
commute 通勤
commuter 通勤者
compact 紧凑的
compactly 紧凑地
compactness 紧凑
companion 同伴
comparison 比较
compassion 同情
compatible 兼容的
compel 强迫
compensation 补偿
competence 能力
competent 有能力的
competently 胜任地
competitive 竞争的
competitively 竞争性地
competitor 竞争者
compile 编译
complex 复杂的
complex 综合体
complicate 使...复杂化
complication 复杂
component 组成部分
compose 创作
composer 作曲家
compound 化合物
comprehension 理解
comprehensive 全面的
comprehensively 全面地
comprehensiveness 全面性
comprise 包含
compromise 妥协
compromise 妥协
compulsorily 强制地
compulsory 强制的
computing 计算
conceal 隐藏
concealment 隐藏
conceive 构想
concept 概念
concern 关心
concerning 关于
conclude 总结
conclusion 结论
concrete 具体的
concrete 混凝土
concretely 具体地
condominium 公寓
conduct 行为
conduct 引导
conductor 指挥家
confess 承认
confession 供认
confidential 机密的
confidentially 机密地
confine 限制
confirmation 确认
conflict 冲突
conflict 冲突
confuse 使...困惑
confusion 困惑
congratulate 祝贺
congratulatory 祝贺的
conquer 征服
conquering 征服
conqueror 征服者
conscience 良心
conscious 有意识的
consciousness 意识
consecutive 连续的
consecutively 连续地
consent 同意
consequence 后果
consequently 因此
conservation 保护
conservative 保守的
conservatively 保守地
considerable 相当大的
considerably 相当大地
consideration 考虑
considering 考虑到
consistent 一致的
consistently 一致地
consonant 辅音
constant 持续的
constantly 不断地
constitute 构成
constitution 宪法
constitutional 宪法的
constitutionally 宪法上地
construct 建造
construction 建设
constructional 建设性的
consult 咨询
consultant 顾问
consume 消费
consumer 消费者
consumption 消费
container 容器
contemporary 当代的
contemporary 同时代的人
content 内容
contest 竞赛
contest 争夺
context 背景
continent 大陆
continental 大陆的
continual 持续的
continually 不断地
continuous 连续的
continuously 持续地
contradict 矛盾
contradiction 矛盾
contradictory 矛盾的
contrary 相反的
contrast 对比
contrast 对比
contribute 贡献
contribution 贡献
controversial 有争议的
controversially 有争议地
controversy 争议
convenience 方便
convenience store 便利店
convenient 方便的
conveniently 方便地
convention 惯例
conventional 传统的
conventionality 传统性
conventionally 传统地
convert 转换
convince 说服
convinced 确信的
convincing 令人信服的
convincingly 令人信服地
cooking 烹饪
cool 凉爽的
cooler 冷却器
cooperate 合作
cooperation 合作
cop 警察
cope 应付
copper 铜
coppery 铜色的
cord 绳索
core 核心
corn 玉米
corporate 公司的
corporately 共同地
corpse 尸体
correct 正确的
correction 修正
corridor 走廊
corrupt 腐败的
corruption 腐败
corruptly 腐败地
corruptness 腐败
cosily 舒适地
cosiness 舒适
costliness 昂贵
costly 昂贵的
costume 服装
cosy 舒适的
cottage 小屋
council 委员会
councillor 议员
count 数数
countless 无数的
coupon 优惠券
courage 勇气
coursebook 课本
cowboy 牛仔
co-worker 同事
crab 螃蟹
craft 工艺
crane 起重机
crawl 爬行
creation 创造
creative 创造性的
creatively 创造性地
creativeness 创造力
creativity 创造力
creator 创造者
creep 爬行
cricket 板球
crisis 危机
criterion 标准
critic 评论家
critical 批判性的
criticism 批评
crocodile 鳄鱼
crossroads 十字路口
crosswalk 人行横道
crossword 填字游戏
crouch 蹲伏
crowd 人群
crown 王冠
crucial 关键的
crucially 关键地
crude 粗糙的
crudely 粗糙地
crudeness 粗糙
crudity 粗糙
cruelty 残忍
cruise 巡航
crunchiness 松脆
crunchy 松脆的
crush 压碎
crust 外壳
cry 哭泣
crystal 水晶
cub 幼崽
cube 立方体
cucumber 黄瓜
cult 邪教
culturally 文化上地
cunning 狡猾的
cunningly 狡猾地
cure 治疗
cure 疗法
curiosity 好奇心
curious 好奇的
curl 卷曲
curl 卷发
currant 葡萄干
currency 货币
current 当前的
curry 咖喱
cursor 光标
curve 曲线
curve 弯曲
curved 弯曲的
custard 蛋奶糊
CV 简历
cycle 骑自行车
cycle 循环
cyclist 骑自行车的人
cylinder 圆柱体
daily 每天的
dairy 奶制品
dam 水坝
damaged 损坏的
damaging 有害的
damp 潮湿的
damply 潮湿地
dampness 潮湿
dare 敢
daring 大胆的
daringly 大胆地
darling 亲爱的
dash 猛冲
dash 破折号
database 数据库
date 日期
daughter-in-law 儿媳
dawn 黎明
daylight 日光
daytime 白天
deadline 截止日期
deadly 致命的
deaf 聋的
deafness 耳聋
dealer 经销商
dear 亲爱的
debate 辩论
debit card 借记卡
decay 腐烂
decay 腐烂
decent 体面的
decently 体面地
declaration 声明
declare 宣布
decline 下降
decline 衰落
declining 下降的
decorate 装饰
decorating 装饰
decoration 装饰品
decrease 减少
decrease 减少
deepen 加深
deer 鹿
defect 缺陷
defender 防守者
definite 明确的
definition 定义
defy 违抗
delay 延迟
delay 延误
delayed 延迟的
delete 删除
deliberate 故意的
deliberately 故意地
deliberateness 故意
delicate 精致的
delicately 精致地
delight 高兴
delighted 高兴的
delightedly 高兴地
demanding 要求高的
democracy 民主
democratic 民主的
democratically 民主地
demonstrate 演示
demonstration 演示
dense 密集的
densely 密集地
denseness 密集
density 密度
depart 离开
department store 百货商店
departure 离开
dependence 依赖
dependent 依赖的
deposit 存款
depressed 沮丧的
depressing 令人沮丧的
depressingly 令人沮丧地
depression 抑郁症
deputy 副手
derive 获得
descend 下降
desert 沙漠
designer 设计师
desirability 吸引力
desirable 令人向往的
desirably 理想地
desire 欲望
desired 期望的
desktop 桌面
despair 绝望
desperate 绝望的
desperately 绝望地
destination 目的地
destiny 命运
destruction 破坏
detect 侦查
detectable 可检测的
detection 侦查
detective 侦探
deteriorate 恶化
deterioration 恶化
determination 决心
determine 决定
determined 坚决的
developed 发达的
developer 开发者
developing 发展中的
device 设备
devil 魔鬼
devise 设计
devote 奉献
devoted 忠诚的
devotedly 忠诚地
diagram 图表
diagrammatic 图解的
diagrammatically 图解地
dial 拨号
dial 拨号盘
dialect 方言
diameter 直径
diamond 钻石
diary 日记
diesel 柴油
diet 饮食
differ 不同
digital 数字的
digitally 数字地
dignified 庄严的
dignity 尊严
dilemma 困境
dimension 维度
diminish 减少
dine 用餐
dip 浸
dip 蘸酱
diploma 文凭
diplomat 外交官
directory 目录
disability 残疾
disagreement 分歧
disappearance 消失
disappointing 令人失望的
disappointingly 令人失望地
disappointment 失望
disapproval 不赞成
disapprove 不赞成
disastrous 灾难性的
disastrously 灾难性地
disc 光盘
discipline 纪律
disconnect 断开连接
disconnection 断开
discount 折扣
discourage 劝阻
discouraged 气馁的
discovery 发现
discrimination 歧视
disguise 伪装
disguise 伪装
disgusted 厌恶的
dishwasher 洗碗机
disk 磁盘
dislike 不喜欢
dislike 不喜欢
dismiss 解雇
dismissal 解雇
disobey 不服从
dispute 争论
dispute 争端
disrupt 扰乱
disruption 扰乱
dissolve 溶解
distant 遥远的
distantly 遥远地
distinct 独特的
distinction 区别
distinctive 独特的
distinctively 独特地
distinctiveness 独特性
distinguish 区分
distinguished 杰出的
distract 分散注意力
distracting 分散注意力的
distress 痛苦
distribute 分发
distribution 分配
distributor 经销商
disturb 打扰
disturbing 令人不安的
disturbingly 令人不安地
ditch 沟
dive 潜水
dive 跳水
diver 潜水员
diverse 多样的
diversely 多样地
diversity 多样性
divine 神圣的
divinely 神圣地
dizzily 头晕地
dizziness 头晕
dizzy 头晕的
dock 码头
documentary 纪录片
dolphin 海豚
dome 圆顶
domestic 国内的
domestically 国内地
dominant 主导的
dominate 支配
dominating 支配的
domination 统治
donate 捐赠
donation 捐赠
doorway 门口
dose 剂量
double 双倍的
double 双倍
double click 双击
doubtful 怀疑的
doubtfully 怀疑地
downwards 向下
draft 草稿
dragon 龙
drain 排水
drain 排水管
dramatic 戏剧性的
dramatically 戏剧性地
draw 画
dreadful 可怕的
dressing 调料
dressing gown 浴袍
dried 干的
drift 漂流
drill 钻头
drill 训练
drip 滴下
drip 水滴
driveway 车道
driving licence 驾驶执照
drought 干旱
drown 淹死
drunk 醉酒的
dryer 烘干机
due 到期的
dull 枯燥的
dullness 枯燥
dully 迟钝地
dumb 哑的
dumbly 哑然地
dumbness 哑
dump 倾倒
dust 灰尘
dusty 尘土飞扬的
duvet 羽绒被
dye 染料
dye 染色
dyed 染色的
dynamic 动态的
dynamically 动态地
eager 渴望的
eagerly 渴望地
eagerness 渴望
eagle 老鹰
earache 耳痛
earnings 收入
earthquake 地震
ease 轻松
Easter 复活节
echo 回声
echo 回响
ecological 生态的
ecologically 生态地
ecology 生态学
economical 经济的
economically 经济地
economics 经济学
economist 经济学家
edit 编辑
edition 版本
editor 编辑
educate 教育
educated 受过教育的
educational 教育的
educationally 教育上地
efficiency 效率
e.g. 例如
elaborate 精心制作的
elaborately 精心地
elbow 肘部
elder 年长的
eldest 最年长的
elect 选举
electrical 电的
electrically 电动地
electrician 电工
electronics 电子学
elegance 优雅
elegant 优雅的
elegantly 优雅地
elementary 初级的
eliminate 消除
elimination 消除
embarrass 使...尴尬
embarrassment 尴尬
embassy 大使馆
emerge 出现
emperor 皇帝
emphasis 强调
emphasize 强调
empire 帝国
empty 空的
enclose 围住
encounter 遭遇
encouragement 鼓励
encouraging 鼓舞人心的
encouragingly 令人鼓舞地
ending 结局
endless 无止境的
endlessly 无止境地
energetic 精力充沛的
energetically 精力充沛地
engaged 订婚的
engagement 订婚
engineering 工程
enhance 增强
enhancement 增强
enhancer 增强剂
enjoyable 令人愉快的
enjoyably 愉快地
enjoyment 享受
enterprise 企业
entertain 招待
entertaining 有趣的
enthusiasm 热情
enthusiastic 热情的
enthusiastically 热情地
entitle 赋予...权利
envious 嫉妒的
enviously 嫉妒地
envy 嫉妒
epidemic 流行病
episode 一集
equal 相等的
equality 平等
equally 平等地
equation 方程式
equip 装备
equivalence 等同
equivalent 相等的
equivalent 等价物
era 时代
erase 擦除
erect 竖立
escalator 自动扶梯
escape 逃跑
essence 本质
essentially 本质上
established 已建立的
establishment 机构
estate 房地产
estimate 估计
estimate 估计
estimated 估计的
estimator 估计者
eternal 永恒的
ethic 道德
ethical 道德的
ethically 道德上地
ethnic 民族的
ethnically 民族地
even 甚至
evenness 平坦
eventual 最终的
everyday 每天的
evident 明显的
evidently 明显地
evil 邪恶的
evil 邪恶
evilly 邪恶地
evolve 进化
exaggerate 夸大
exaggeration 夸大
examination 考试
exceed 超过
excellence 卓越
exceptional 卓越的
excess 过量
excess 过剩
excessive 过度的
excessively 过度地
exchange 交换
exchange 交换
exchangeable 可交换的
excite 使...兴奋
excitement 兴奋
exclamation mark 感叹号
exclude 排除
excluding 不包括
executive 执行的
executive 经理
exercise 锻炼
exhausted 筋疲力尽的
exhausting 令人筋疲力尽的
exhibit 展览
exhibit 展品
existence 存在
existing 现有的
exotic 异国的
exotically 异国情调地
expand 扩张
expansion 扩张
expectation 期望
expedition 远征
expense 花费
experience 经验
experienced 有经验的
experiment 实验
experimental 实验性的
experimenter 实验者
expertise 专业知识
expire 到期
exploration 探索
export 出口
export 出口
exportation 出口
expose 暴露
express 表达
express 快递
extend 延长
extension 延伸
extensive 广泛的
extensively 广泛地
exterior 外部
external 外部的
externally 外部地
extinct 灭绝的
extra 额外的
extract 提取
extract 提取物
extraordinary 非凡的
extravagance 奢侈
extravagant 奢侈的
extravagantly 奢侈地
extreme 极端的
extreme 极端
eyebrow 眉毛
eyelid 眼睑
fabric 织物
fabulous 极好的
facility 设施
fade 褪色
fade-in 淡入
fade-out 淡出
faint 微弱的
faint 晕倒
faintly 微弱地
faintness 昏厥
fair 公平的
fairness 公平
fairy 仙女
faithful 忠实的
faithfulness 忠诚
fake 假的
fake 伪造
fame 名声
familiar 熟悉的
fancy 想象
fantasy 幻想
fare 票价
farm 农场
farming 农业
fascinate 使...着迷
fascinated 着迷的
fascinating 迷人的
fascinatingly 迷人地
fasten 系紧
fatal 致命的
father-in-law 岳父/公公
faucet 水龙头
favour 偏爱
fear 恐惧
feast 盛宴
feather 羽毛
feature 特征
feedback 反馈
fellow 家伙
ferry 渡船
fever 发烧
fiancé 未婚夫
fiancée 未婚妻
fibre 纤维
fiction 小说
fierce 凶猛的
fiercely 凶猛地
fierceness 凶猛
fighter 战士
fighting 战斗
file 文件
film 电影
filming 拍摄
filter 过滤器
filthy 肮脏的
final 最终的
finance 金融
finance 资助
financing 融资
finding 发现
fine 好的
fine 罚款
finely 精细地
fingernail 指甲
finish 完成
fire 火
fire alarm 火警
fire brigade 消防队
fire station 消防站
firework 烟花
first aid 急救
firstly 首先
fish 鱼
fisherman 渔民
fist 拳头
fit 适合
fitness 健康
fixed 固定的
flame 火焰
flash 闪光
flash 闪光
flashlight 手电筒
flat 平坦的
flee 逃跑
fleet 舰队
flesh 肉
flexibility 灵活性
flexible 灵活的
flexibly 灵活地
flight attendant 空中乘务员
fling 抛
flock 群
flood 洪水
flood 淹没
flower 花
fluency 流利
fluent 流利的
fluently 流利地
fluid 液体
flute 长笛
focus 焦点
focus 集中
fold 折叠
follower 追随者
following 接下来
following 追随
fond 喜爱的
fondness 喜爱
fool 傻瓜
foolish 愚蠢的
foolishly 愚蠢地
foolishness 愚蠢
footpath 人行道
footstep 脚步
for 为了
forbid 禁止
forecast 预测
forecast 预报
forehead 额头
forge 锻造
forgive 原谅
formally 正式地
formation 形成
formerly 以前
formula 公式
fort 堡垒
fortnight 两周
fortunate 幸运的
fortunately 幸运地
fortune 财富
forward 向前
fossil 化石
foul 犯规的
foully 肮脏地
foulness 肮脏
found 建立
foundation 基金会
founding 创立
fox 狐狸
fraction 分数
fragile 易碎的
fragility 脆弱
fragment 碎片
framework 框架
frank 坦率的
frankly 坦率地
frankness 坦率
fraud 欺诈
freely 自由地
freezing 冰冷的
freight 货运
frequency 频率
frequent 频繁的
freshly 新鲜地
friendship 友谊
fright 惊吓
fringe 刘海
frog 青蛙
frontier 边境
frost 霜
frown 皱眉
frown 皱眉
frustrated 沮丧的
frustrating 令人沮丧的
frustration 挫折
frying pan 煎锅
fulfil 实现
full stop 句号
full-time 全职的
fumes 烟雾
function 功能
functional 功能性的
functionally 功能上地
fund 基金
fund 资助
fundamental 基本的
fundamentally 根本地
funding 资金
fur 皮毛
furious 狂怒的
furiously 狂怒地
furnish 装备
furnished 带家具的
further 更远的
fury 狂怒
gain 获得
gallery 画廊
gallop 疾驰
gamble 赌博
gambler 赌徒
gambling 赌博
gardener 园丁
garlic 大蒜
garlicky 大蒜味的
garment 服装
gasoline 汽油
gay 同性恋的
gayness 同性恋
gaze 凝视
gear 齿轮
gene 基因
generate 产生
generous 慷慨的
generously 慷慨地
genius 天才
gentle 温柔的
gentleness 温柔
gently 温柔地
genuine 真正的
genuinely 真正地
genuineness 真实性
germ 细菌
gestural 手势的
gesture 手势
gigantic 巨大的
gigantically 巨大地
ginger 姜
giraffe 长颈鹿
glance 瞥一眼
glance 一瞥
global 全球的
globally 全球地
global warming 全球变暖
globe 地球
glorious 光荣的
gloriously 光荣地
glory 荣耀
glow 发光
glow 光芒
glue 胶水
goalkeeper 守门员
goat 山羊
goddess 女神
goodness 善良
goods 货物
goose 鹅
gorgeous 华丽的
gorgeously 华丽地
gossip 八卦
gossip 八卦
govern 统治
grace 优雅
graceful 优美的
gracefully 优雅地
gracefulness 优雅
grade 等级
gradual 逐渐的
grain 谷物
grand 宏伟的
grandly 宏伟地
granny 奶奶
grant 授予
grant 拨款
grasp 抓住
grateful 感激的
gratefully 感激地
grave 坟墓
grave 严肃的
gravel 碎石
gravely 严肃地
graveyard 墓地
greatly 极大地
greedily 贪婪地
greediness 贪婪
greedy 贪婪的
greenhouse effect 温室效应
greet 问候
grid 网格
grief 悲伤
grim 严峻的
grimly 严峻地
grimness 严峻
grin 露齿而笑
grin 笑容
grip 紧握
grip 抓握
groom 新郎
gross 总的
grossly 粗俗地
grossness 粗俗
group 团体
grown-up 成年的
grown-up 成年人
guarantee 保证
guarantee 保证
guidance 指导
guide 指导
guideline 指导方针
guilt 罪恶感
gunman 持枪歹徒
gut 肠
gymnastic 体操的
gymnastics 体操
haircut 理发
hairdresser 理发师
hairdressing 理发
hairdryer 吹风机
hairstyle 发型
half-brother 同父异母/同母异父的兄弟
half-sister 同父异母/同母异父的姐妹
halfway 半途
hammer 锤子
hand 手
handbag 手提包
handful 一把
handout 讲义
handy 方便的
happily 快乐地
harbour 港口
hardware 硬件
hard-working 勤奋的
harm 伤害
harm 损害
harmful 有害的
harsh 严厉的
harshly 严厉地
harshness 严厉
harvest 收获
hate 恨
hatred 仇恨
haul 拖运
haunt 缠绕
haunted 闹鬼的
hay 干草
hazard 危险
heading 标题
headline 头条新闻
headphones 耳机
headquarters 总部
head teacher 校长
heal 治愈
health care 医疗保健
health-care 医疗保健的
heap 堆
heart attack 心脏病发作
heating 暖气
heavily 沉重地
hedge 树篱
heel 脚跟
hell 地狱
herb 草药
herd 兽群
hesitate 犹豫
hesitatingly 犹豫地
hey 嘿
hidden 隐藏的
highlight 强调
highlight 亮点
highlighting 强调
hike 徒步旅行
hike 徒步旅行
hiking 徒步旅行
hilly 多山的
hint 暗示
hint 暗示
historian 历史学家
historic 历史性的
historical 历史的
historically 历史上地
hockey 曲棍球
holder 持有者
hollow 空心的
hollowly 空洞地
hollowness 空虚
homeless 无家可归的
homelessness 无家可归
homesick 想家的
homesickness 思乡
honestly 诚实地
honesty 诚实
honour 荣誉
honour 尊敬
hood 帽子
hoof 蹄
hop 跳跃
hopeful 充满希望的
hopefulness 希望
hopeless 绝望的
hopelessness 绝望
horizon 地平线
horizontal 水平的
horizontally 水平地
horn 角
horror 恐怖
hose 软管
host 主人
host 主持
household 家庭
household 家庭的
housework 家务
housing 住房
hug 拥抱
hug 拥抱
humid 潮湿的
humorous 幽默的
humorously 幽默地
humour 幽默
hunger 饥饿
hunt 打猎
hunter 猎人
hunting 狩猎
hurdle 障碍
hurricane 飓风
hut 小屋
hydrogen 氢
hyphen 连字符
icon 图标
iconic 标志性的
ideal 理想的
ideal 理想
ideally 理想地
identical 完全相同的
identically 完全相同地
identification 身份证明
identity 身份
idiom 成语
idiot 白痴
idiotic 愚蠢的
idiotically 愚蠢地
i.e. 亦即
ignorance 无知
ignorant 无知的
ignorantly 无知地
illustrate 说明
illustration 插图
imitate 模仿
imitation 模仿
imitator 模仿者
immense 巨大的
immigrant 移民
immigrate 移民
immigration 移民
implement 实施
implementation 实施
implication 暗示
imply 暗示
import 进口
import 进口
importantly 重要的是
imported 进口的
impose 强加
impress 留下深刻印象
impression 印象
impressive 令人印象深刻的
impressively 令人印象深刻地
impressiveness 令人印象深刻
improved 改进的
inability 无能
